any,attempted_problem,course_id,created,interval_end,interval_start,played_video,posted_forum
16,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-07-16T000000,2023-07-09T000000,4,1
21,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-07-23T000000,2023-07-16T000000,9,2
15,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-07-30T000000,2023-07-23T000000,4,
33,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-08-06T000000,2023-07-30T000000,9,
23,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-08-13T000000,2023-08-06T000000,7,1
11,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-08-20T000000,2023-08-13T000000,6,1
5,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-08-27T000000,2023-08-20T000000,1,
14,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-09-03T000000,2023-08-27T000000,3,
21,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-09-10T000000,2023-09-03T000000,8,1
18,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-09-17T000000,2023-09-10T000000,4,
16,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-09-24T000000,2023-09-17T000000,4,1
23,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-10-01T000000,2023-09-24T000000,7,1
18,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-10-08T000000,2023-10-01T000000,3,1
25,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-10-15T000000,2023-10-08T000000,8,1
77,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-10-22T000000,2023-10-15T000000,21,5
49,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-10-29T000000,2023-10-22T000000,13,3
29,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-11-05T000000,2023-10-29T000000,9,3
22,4,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-11-12T000000,2023-11-05T000000,12,3
31,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-11-19T000000,2023-11-12T000000,8,1
28,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-11-26T000000,2023-11-19T000000,5,1
23,4,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-12-03T000000,2023-11-26T000000,5,3
30,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-12-10T000000,2023-12-03T000000,8,5
27,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-12-17T000000,2023-12-10T000000,5,2
22,4,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-12-24T000000,2023-12-17T000000,8,4
29,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-12-31T000000,2023-12-24T000000,7,1
22,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-01-07T000000,2023-12-31T000000,3,1
26,4,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-01-14T000000,2024-01-07T000000,9,3
21,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-01-21T000000,2024-01-14T000000,7,1
28,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-01-28T000000,2024-01-21T000000,8,2
22,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-02-04T000000,2024-01-28T000000,6,2
22,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-02-11T000000,2024-02-04T000000,9,3
27,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-02-18T000000,2024-02-11T000000,6,2
27,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-02-25T000000,2024-02-18T000000,5,2
27,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-03-03T000000,2024-02-25T000000,9,1
22,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-03-10T000000,2024-03-03T000000,9,1
20,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-03-17T000000,2024-03-10T000000,6,1
23,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-03-24T000000,2024-03-17T000000,5,
16,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-03-31T000000,2024-03-24T000000,4,1
23,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-04-07T000000,2024-03-31T000000,5,1
10,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2024-04-14T000000,2024-04-07T000000,,
